STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,TOT_FLPOP_CO,ML_FLPOP_CO,FML_FLPOP_CO,AGRDE_10_FLPOP_CO,AGRDE_20_FLPOP_CO,AGRDE_30_FLPOP_CO,AGRDE_40_FLPOP_CO,AGRDE_50_FLPOP_CO,AGRDE_60_ABOVE_FLPOP_CO,TMZON_00_06_FLPOP_CO,TMZON_06_11_FLPOP_CO,TMZON_11_14_FLPOP_CO,TMZON_14_17_FLPOP_CO,TMZON_17_21_FLPOP_CO,TMZON_21_24_FLPOP_CO,MON_FLPOP_CO,TUES_FLPOP_CO,WED_FLPOP_CO,THUR_FLPOP_CO,FRI_FLPOP_CO,SAT_FLPOP_CO,SUN_FLPOP_CO
20224,11500,강서구,114441017,53694232,60746785,18351983,15677159,21034326,18892277,15307382,25177892,31714567,23795092,12823477,12661357,18234172,15212352,16416314,16217531,16228024,16171325,16168078,16449396,16790348
20224,11530,구로구,78583455,37982374,40601082,11030327,9823651,13252387,13453364,12606171,18417556,21112377,16114253,9009670,9051882,12961691,10333584,11288413,11145445,11169331,11122787,11081032,11199645,11576806
20224,11545,금천구,37700570,18615911,19084660,4268147,5507790,6845880,6001672,6294599,8782483,10293351,7812095,4276315,4264485,6064627,4989697,5446868,5394190,5386226,5365468,5343195,5311428,5453196
20224,11560,영등포구,109321059,53252579,56068480,13359576,16104007,21351139,18627467,17006995,22871876,27304755,22630767,13555079,13639780,18410560,13780116,15615726,15660795,15678977,15623390,15693901,15463346,15584923
20224,11590,동작구,86056190,40471391,45584800,12902421,15936476,14235543,12929988,11503712,18548051,23657474,17922618,9561366,9477602,13973223,11463906,12297937,12193198,12220208,12162364,12178903,12448946,12554634
20224,11620,관악구,129482971,63781424,65701547,13928388,30505184,24620321,18460420,16235664,25732994,36400770,26612771,13906831,13843266,21036376,17682956,18450895,18132117,18146830,18079075,18139776,19011624,19522654
20224,11650,서초구,97694530,47201997,50492533,16278162,13705657,17675637,18841691,13816371,17377013,21764065,20467143,13649782,13624364,16835273,11353901,14138417,14636774,14625881,14632385,14545560,12835675,12279840
20224,11680,강남구,143390286,70147871,73242415,22159557,23620165,29596542,28372899,18674091,20967033,28933447,29611687,21735415,21917365,25535901,15656471,20702473,21865079,21877551,21904824,21612237,18381940,17046182
20224,11710,송파구,122898991,57611543,65287448,21231867,15650858,21461225,20573739,18068191,25913111,32823667,25271747,14234470,14221292,20291596,16056221,17581245,17497712,17500782,17453160,17525068,17639178,17701846
20224,11740,강동구,107789373,50405496,57383877,18269134,12615814,16754767,17640624,16271665,26237369,29621021,22273359,12165289,12105979,17374875,14248849,15438948,15277408,15274745,15200813,15221885,15525694,15849880
20233,11410,서대문구,93385346,42584227,50801118,12900904,17472727,15524130,15545226,13417173,18525185,23210014,19683577,11873409,11882355,15257003,11478986,13691310,13730881,13728231,13578005,13394142,12566628,12696149
20233,11440,마포구,114208917,51943288,62265629,15602400,23219970,22337740,19445562,14666277,18936969,28121285,22867169,14237308,14598077,19947122,14437957,16387774,16367549,16387323,16253823,16276038,16293340,16243071
20233,11200,성동구,72712899,34346496,38366404,9607010,12758153,13199893,11952426,10618832,14576586,17821127,15111813,9106911,9245440,12422627,9004982,10546687,10530038,10552901,10454064,10401284,10102794,10125132
20233,11305,강북구,95208377,43959313,51249063,13431428,13406086,12246728,14110019,15548230,26465886,25948559,19464568,10793716,10796895,15550435,12654202,13529302,13468241,13408347,13394329,13408913,13814482,14184764
20233,11710,송파구,120476997,56498808,63978189,20708811,15661121,20612632,20182559,17735770,25576102,32187367,24769901,13956715,13948520,19869148,15745345,17280370,17224386,17172505,17097436,17025201,17185317,17491780
20233,11650,서초구,96511523,46590380,49921143,16237198,13788884,17386780,18613563,13681166,16803933,21585201,20402194,13503852,13423125,16458780,11138372,14446794,14434755,14509418,14237740,14123909,12510480,12248426
20233,11110,종로구,66318125,31968453,34349672,7091839,12461661,10692464,10722141,10941341,14408681,13284932,13645825,10241098,10286767,11748125,7111381,9803140,9866964,9941544,9772890,9725534,8854396,8353656
20231,11140,중구,59566014,29553436,30012577,4885395,10037184,12023873,10882560,9693164,12043837,10762823,12520309,9910942,9868945,10496028,6006966,8901603,9110257,9124285,9312367,9148014,7293475,6676012
20232,11140,중구,60438347,29766992,30671356,5216592,10179950,12166569,10948947,9789619,12136671,10921867,12728221,10062308,9946685,10647699,6131567,8939613,9253956,9475097,9493320,9175367,7328912,6772084
20231,11230,동대문구,105938883,50332753,55606131,13841775,21472316,15300774,15548076,14964805,24811135,27292212,22235283,12995963,12815291,17195176,13404960,15093108,15157972,15144510,15153735,15099939,15145127,15144490
20232,11230,동대문구,107562233,50837082,56725152,14396446,23478993,15239906,15460050,14823332,24163507,27928816,22630630,13061518,12866468,17417694,13657106,15456887,15472764,15454397,15430167,15276674,15212303,15259041
